yeshuv_sn,yeshuv_name_hebrew
4014,נטור
1369,נטע
174,נטעים
1254,נטף
523,ניין
3655,""ניל""י""
351,ניצן
1419,"ניצן ב'"
1195,"ניצנה (קהילת חינוך)"
1280,"ניצני סיני"
851,"ניצני עוז"
359,ניצנים
808,"ניר אליהו"
553,"ניר בנים"
720,"ניר גלים"
256,"ניר דוד (תל עמל)"
11,""ניר ח""ן""
165,"ניר יפה"
402,"ניר יצחק"
699,"ניר ישראל"
2047,"ניר משה"
69,"ניר עוז"
348,"ניר עם"
769,"ניר עציון"
2048,"ניר עקיבא"
331,"ניר צבי"
602,נירים
1236,נירית
825,"נס הרים"
1143,"נס עמים"
7200,"נס ציונה"
186,נעורים
3787,נעלה
3713,""נעמ""ה""
158,נען
1041,"נצאצרה (שבט)"
1372,"נצר חזני"
435,"נצר סרני"
7300,נצרת
2500,נשר
3555,"נתיב הגדוד"
693,""נתיב הל""ה""
1242,"נתיב העשרה"
792,"נתיב השיירה"
246,נתיבות
7400,נתניה
525,סאג'ור
578,סאסא
587,סביון*
2046,סגולה
942,"סואעד (חמרייה)*"
526,סולם
3756,סוסיה
1238,סופה
7500,סח'נין
1170,"סייד (שבט)"
1245,סלמה
3567,סלעית
1156,סמר
3777,סנסנה
419,סעד
1360,סעוה
454,סער
1176,ספיר
610,סתרייה
4501,ע'ג'ר
892,עבדון
376,עברון
794,עגור
1199,עדי
2035,עדנים
826,עוזה
528,עוזייר
737,עולש
666,עומר
810,עופר
3617,עפרה
32,עוצם
957,"עוקבי (בנו עוקבה) (שבט)"
1149,עזר
837,עזריאל
711,עזריה
817,עזריקם
969,"עטאוונה (שבט)"
3658,עטרת
1175,עידן
530,עיילבון
156,עיינות
511,עילוט
687,"עין איילה"
546,"עין אל-אסד"
273,"עין גב"
2042,"עין גדי"
436,"עין דור"
1240,"עין הבשור"
74,"עין הוד"
167,"עין החורש"
289,"עין המפרץ"
383,""עין הנצי""ב""
367,"עין העמק"
270,"עין השופט"
676,"עין השלושה"
157,"עין ורד"
4503,"עין זיוון"
1320,"עין חוד"
89,"עין חרוד (איחוד)"
82,"עין חרוד (מאוחד)"
806,"עין יהב"
813,"עין יעקב"
426,"עין כרמל"
532,"עין מאהל"
521,"עין נקובא"
223,"עין עירון"
622,"עין צורים"
4502,"עין קנייא"
514,"עין ראפה"
139,"עין שמר"
880,"עין שריד"
1251,"עין תמר"
871,עינת
7600,עכו
1146,עלומים
3765,עלי
3727,"עלי זהב"
688,עלמה
3715,עלמון
1212,עמוקה
3824,עמיחי
779,עמינדב
385,עמיעד
318,עמיעוז
773,עמיקם
319,עמיר
3660,עמנואל
708,עמקה
3712,ענב
534,עספיא
7700,עפולה
3778,"עץ אפרים"
917,"עצמון שגב"
531,עראבה
1246,עראמשה*
1335,"ערב אל נעים"
2560,ערד
593,ערוגות
637,ערערה
1192,ערערה-בנגב
591,עשרת
53,עתלית
3748,עתניאל
1151,פארן
3768,פדואל
750,פדויים
838,פדיה
1104,"פורייה - כפר עבודה"
1105,"פורייה - נווה עובד"
1313,"פורייה עילית"
537,פוריידיס
767,פורת
749,פטיש
597,פלמחים
3723,"פני חבר"
3659,פסגות
535,פסוטה
2059,""פעמי תש""ז""
3615,פצאל
536,"פקיעין (בוקייעה)"
281,"פקיעין חדשה"
7800,"פרדס חנה-כרכור"
171,פרדסייה
599,פרוד
2053,פרזון
1231,"פרי גן"
7900,"פתח תקווה"
839,פתחיה
413,צאלים
1180,צביה
1213,צבעון
465,צובה
1136,צוחר
3791,צופים
198,צופית
1150,צופר
1102,"צוקי ים"
1262,צוקים
